Universidad;Título;Tipo de universidad;Nota de corte 2019/2020;Nota media de admisión 2019/2020;Ofertas de plazas curso 2019/2020;Créditos necesarios;Precio del crédito 2019/2020
Universidad de Sevilla;Grado en Educación Infantil;Pública / Propio;9.36;10.53;180;240;12,62 €
Universitat Politècnica de València;Grado en Ingeniería de Sistemas de Telecomunicación, Sonido e Imagen;Pública / Propio;9.35;7.45;50;240;20,27 €
Universitat de València (Estudi General);Grado en Nutrición Humana y Dietética;Pública / Propio;9.35;10;144;240;21,16 €
Universidad de Salamanca;Grado en Enfermería;Pública / Adscrito;9.35;9.71;50;240;
Universidad Politécnica de Madrid;Grado en Ingeniería de la Energía;Pública / Propio;9.34;9.87;170;240;24,55 €
Universidad de Barcelona;Grado en Estadística;Pública / Propio;9.34;9.58;50;240;35,77 €
Universidad Rey Juan Carlos;Grado en Ingeniería Informática;Pública / Propio;9.34;9.85;33;240;24,55 €
Universidad de Cádiz;Grado en Enfermería;Pública / Adscrito;9.31;9.29;80;240;
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Psicología;Pública / Propio;9.3;10.53;250;240;19,19 €
Universidad de Barcelona;Grado en Ciencias de la Actividad Física y el Deporte;Pública / Adscrito;9.29;10.15;150;240;
Universidad de Granada;Grado en Administración y Dirección de Empresas;Pública / Propio;9.28;10.56;214;240;12,62 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Educación Primaria;Pública / Propio;9.27;10.24;200;240;14,39 €
Universidad de Alicante;Grado en Historia;Pública / Propio;9.27;8.19;125;240;13,86 €
Universidad de Alicante;Grado en Marketing;Pública / Propio;9.27;9.72;75;240;14,96 €
Universitat de València (Estudi General);Grado en Química;Pública / Propio;9.27;10.38;180;240;20,27 €
Universidad Rey Juan Carlos;Grado en Bellas Artes;Pública / Propio;9.24;9.66;65;240;21,39 €
Universidad de A Coruña;Grado en Comunicación Audiovisual;Pública / Propio;9.23;9.97;50;240;9,85 €
Universidad Autónoma de Barcelona;Grado en Enfermería;Pública / Adscrito;9.23;9.61;80;240;
Universidad de Granada;Grado en Marketing e Investigación de Mercados;Pública / Propio;9.23;10.43;130;240;12,62 €
Universidad Rey Juan Carlos;Grado en Psicología;Pública / Propio;9.22;9.06;60;240;21,39 €
Universidad de Zaragoza;Grado en Ingeniería Informática;Pública / Propio;9.22;11.02;99;240;21,66 €
Universidad de Vigo;Grado en Comunicación Audiovisual;Pública / Propio;9.21;9.83;45;240;9,85 €
Universidad Autónoma de Madrid;Grado en Ciencia Política y Administración Pública;Pública / Propio;9.2;9.97;45;240;21,39 €
Universidad de Murcia;Grado en Psicología;Pública / Propio;9.2;10.4;190;240;16,78 €
Universidad de Extremadura;Grado en Filología Clásica;Pública / Propio;9.2;n/d;40;240;10,31 €
Universitat de València (Estudi General);Grado en Lenguas Modernas y sus Literaturas;Pública / Propio;9.19;8.22;100;240;14,96 €
Universidad Autónoma de Barcelona;Grado en Ciencias Ambientales;Pública / Propio;9.19;9.85;60;240;35,77 €
Universidad de Vigo;Grado en Enfermería;Pública / Adscrito;9.18;9.3;70;240;
Universidad de Sevilla;Grado en Óptica y Optometría;Pública / Propio;9.17;10.46;60;240;12,62 €
Universitat Politècnica de València;Grado en Ciencia y Tecnología de los Alimentos;Pública / Propio;9.16;10.29;80;240;20,27 €
Universidad de La Laguna;Grado en Física;Pública / Propio;9.16;11.11;72;240;14,59 €
Universidad de Alcalá;Grado en Química;Pública / Propio;9.16;9.22;90;240;26,14 €
Universidad Complutense de Madrid;Grado en Terapia Ocupacional;Pública / Propio;9.15;9.53;80;240;21,39 €
Universidad de Málaga;Grado en Podología;Pública / Propio;9.15;9.46;65;240;12,62 €
Universidad de Málaga;Grado en Comunicación Audiovisual;Pública / Propio;9.15;10.49;130;240;12,62 €
Universidad Rey Juan Carlos;Grado en Comunicación Audiovisual;Pública / Propio;9.15;9.73;150;240;21,39 €
Universidad de Girona;Grado en Enfermería;Pública / Propio;9.15;10.1;130;240;39,53 €
Universidad de Granada;Grado en Fisioterapia;Pública / Propio;9.13;9.12;45;240;12,62 €
Universidad Carlos III de Madrid;Grado en Ingeniería en Tecnologías de Telecomunicación/ Bachelor's degree in Telecommunication Technologies Engineering;Pública / Propio;9.13;11.01;100;240;24,55 €
Universidad de Barcelona;Grado en Ciencias Ambientales;Pública / Propio;9.12;9.6;60;240;35,77 €
Universidad Politécnica de Madrid;Grado en Ingeniería Química;Pública / Propio;9.11;9.49;60;240;24,55 €
Universidad de Barcelona;Grado en Educación Social;Pública / Propio;9.11;9.69;180;240;25,27 €
Universidad Carlos III de Madrid;Grado en Ingeniería Informática;Pública / Propio;9.11;10.03;40;240;24,55 €
Universidad Autónoma de Madrid;Grado en Economía;Pública / Propio;9.11;10.11;230;240;21,39 €
Universidad Pública de Navarra;Grado en Psicología;Pública / Propio;9.1;-;60;240;23,05 €
Universidad Complutense de Madrid;Grado en Educación Social;Pública / Propio;9.1;9.84;100;240;21,39 €
Universidad de Oviedo;Grado en Psicología;Pública / Propio;9.09;9.29;120;240;15,70 €
Universidad de Santiago de Compostela;Grado en Maestro de Educación Infantil;Pública / Propio;9.09;9.96;61;240;9,85 €
Universidad de Valladolid;Grado en Nutrición Humana y Dietética;Pública / Propio;9.09;9.94;40;240;18,32 €
Universidad de Extremadura;Grado en Enfermería;Pública / Propio;9.08;9.29;100;240;18,51 €
Universidad de Alcalá;Grado en Ingeniería Informática;Pública / Propio;-;-;-;240;24,55 €
Universidad Rey Juan Carlos;Grado en Bellas Artes;Pública / Propio;9.08;8.97;50;240;21,39 €
Universidad Complutense de Madrid;Grado en Administración y Dirección de Empresas;Pública / Propio;9.08;9.5;265;240;21,39 €
Universidad de Murcia;Grado en Educación Infantil;Pública / Propio;9.07;9.96;120;240;14,38 €
Universidad Politécnica de Madrid;Grado en Ingeniería de Tecnologías y Servicios de Telecomunicación;Pública / Propio;9.07;10.83;300;240;24,55 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Educación Social;Pública / Propio;9.06;10;100;240;14,39 €
Universidad de Santiago de Compostela;Grado en Farmacia;Pública / Propio;9.06;11.13;195;300;13,93 €
Universidad Jaume I de Castellón;Grado en Comunicación Audiovisual;Pública / Propio;9.05;9.56;90;240;14,96 €
Universidad Autónoma de Barcelona;Grado en Ciencia Política y Gestión Pública;Pública / Propio;9.05;9.95;90;240;25,27 €
Universidad de Alcalá;Grado en Lenguas Modernas y Traducción;Pública / Propio;9.05;9.41;50;240;21,39 €
Universidad de Málaga;Grado en Bellas Artes;Pública / Propio;9.04;10.39;80;240;12,62 €
Universidad Autónoma de Madrid;Grado en Ingeniería Química;Pública / Propio;9.03;9.09;80;240;24,55 €
Universitat de les Illes Balears;Grado en Física;Pública / Propio;9.02;9.54;50;240;16,21 €
Universidad de Alicante;Grado en Nutrición Humana y Dietética;Pública / Propio;9.02;9.4;100;240;21,16 €
Universidad Miguel Hernández de Elche;Grado en Comunicación Audiovisual;Pública / Propio;9.01;9.57;50;240;14,96 €
Universidad Pompeu Fabra;Grado en Ingeniería en Informática;Pública / Propio;9.01;9.51;55;240;39,53 €
Universidad de Málaga;Grado en Estudios de Asia Oriental;Pública / Propio;9;9.59;50;240;12,62 €
Universidad Complutense de Madrid;Grado en Maestro en Educación Primaria;Pública / Propio;9;9.7;240;240;21,39 €
Universidad de Zaragoza;Grado en Magisterio en Educación Primaria;Pública / Propio;9;10.29;240;240;16,20 €
Universidad de Sevilla;Grado en Fisioterapia;Pública / Adscrito;9;9.69;75;240;
Universidad de León;Grado en Fisioterapia;Pública / Propio;8.99;-;50;240;19,37 €
Universidad de Málaga;Grado en Ingeniería de la Salud;Pública / Propio;8.98;9.96;65;240;12,62 €
Universidad de Sevilla;Grado en Bellas Artes;Pública / Propio;8.98;10.31;180;240;12,62 €
Universidad de Sevilla;Grado en Estadística;Pública / Propio;8.97;9.04;30;240;12,62 €
Universidad de León;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;8.97;9.65;80;240;18,32 €
Universidad de Murcia;Grado en Educación Primaria;Pública / Propio;8.96;10.26;360;240;14,38 €
Universidad de Alcalá;Grado en Comunicación Audiovisual;Pública / Propio;8.96;9.8;50;240;24,55 €
Universidad de Sevilla;Grado en Educación Primaria;Pública / Propio;8.96;10.03;520;240;12,62 €
Universidad de Granada;Grado en Farmacia;Pública / Propio;8.96;10.73;320;300;12,62 €
Universidad de Sevilla;Grado en Ingeniería de Organización Industrial;Pública / Propio;8.96;10.25;65;240;12,62 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Ingeniería en Organización Industrial;Pública / Propio;8.95;10.3;50;240;19,19 €
Universidad Complutense de Madrid;Grado en Conservación y Restauración del Patrimonio Cultural;Pública / Propio;8.95;9.18;60;240;24,55 €
Universidad Autónoma de Barcelona;Grado en Química;Pública / Propio;8.94;10.22;120;240;35,77 €
Universitat de les Illes Balears;Grado en Fisioterapia;Pública / Propio;8.94;9.41;60;240;20,82 €
Universidad Rey Juan Carlos;Grado en Protocolo, Organización de Eventos y Comunicación Corporativa;Pública / Propio;8.94;10.44;130;240;21,39 €
Universidad de Granada;Grado en Enfermería;Pública / Propio;8.93;9.21;148;240;12,62 €
Universidad Autónoma de Madrid;Grado en Ingeniería Informática;Pública / Propio;8.92;9.98;142;240;24,55 €
Universitat de València (Estudi General);Grado en Maestro/a en Educación Primaria;Pública / Propio;8.92;10.28;500;240;14,96 €
Universidad de Granada;Grado en Ingeniería Informática;Pública / Propio;8.92;10.57;260;240;12,62 €
Universidad de Granada;Grado en Enfermería;Pública / Propio;8.92;9.35;100;240;12,62 €
Universidad Rey Juan Carlos;Grado en Ingeniería Mecánica;Pública / Propio;8.91;9.58;65;240;24,55 €
Universidad Carlos III de Madrid;Grado en Turismo/ Bachelor in Tourism;Pública / Propio;8.9;10.08;40;240;21,39 €
Universidad Rey Juan Carlos;Grado en Marketing;Pública / Propio;8.9;10.18;75;240;21,39 €
Universidad Rey Juan Carlos;Grado en Terapia Ocupacional;Pública / Propio;8.9;9.11;70;240;21,39 €
Universidad de Sevilla;Grado en Ingeniería Informática - Ingeniería del Software;Pública / Propio;8.9;9.84;225;240;12,62 €
Universidad de La Rioja;Grado en Ingeniería Informática;Pública / Propio;8.9;9.6;50;240;21,21 €
Universidad de Alicante;Grado en Criminología;Pública / Propio;8.89;8.66;240;240;14,96 €
Universidad Jaume I de Castellón;Grado en Criminología y Seguridad;Pública / Propio;8.89;9.34;90;240;14,96 €
Universidad Complutense de Madrid;Grado en Podología;Pública / Propio;8.87;9.49;70;240;26,14 €
Universidad de Málaga;Grado en Educación Primaria;Pública / Propio;8.87;10;300;240;12,62 €
Universitat de València (Estudi General);Grado en Administración y Dirección de Empresas;Pública / Propio;8.86;9.51;510;240;14,96 €
Universidad Rey Juan Carlos;Grado en Ingeniería Informática;Pública / Propio;8.85;9.05;50;240;24,55 €
Universidad de La Laguna;Grado en Biología;Pública / Propio;8.85;11.03;100;240;14,59 €
Universidad de Alcalá;Grado en Ingeniería en Tecnologías Industriales;Pública / Propio;8.85;-;50;240;24,55 €
Universidad Jaume I de Castellón;Grado en Publicidad y Relaciones Públicas;Pública / Propio;8.84;10.18;90;240;14,96 €
Universidad de Murcia;Grado en Comunicación Audiovisual;Pública / Propio;8.84;10.42;60;240;14,38 €
Universidad de Granada;Grado en Lenguas Modernas y sus Literaturas;Pública / Propio;8.84;10.15;75;240;12,62 €
Universidad Politécnica de Catalunya;Grado en Ingeniería Electrónica de Telecomunicación;Pública / Propio;8.83;10.85;50;240;39,53 €
Universidad Pompeu Fabra;Grado en Negocios y Marketing Internacionales;Pública / Adscrito;8.83;10.4;110;240;
Universitat de València (Estudi General);Grado en Ciencias Políticas y de la Administración Pública;Pública / Propio;8.83;9.29;75;240;14,96 €
Universidad de Alicante;Grado en Administración y Dirección de Empresas;Pública / Propio;8.83;7.44;400;240;14,96 €
Universidad Complutense de Madrid;Grado en Ingeniería del Software;Pública / Propio;8.83;8.99;90;240;24,55 €
Universidad Autónoma de Barcelona;Grado en Administración y Dirección de Empresas;Pública / Propio;8.82;9.38;230;240;25,27 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Publicidad y Relaciones Públicas;Pública / Propio;8.82;10.31;125;240;14,39 €
Universidad de Granada;Grado en Biología;Pública / Propio;8.81;10.72;200;240;12,62 €
Universitat de les Illes Balears;Grado en Enfermería;Pública / Propio;8.8;9.83;161;240;20,82 €
Universidad Autónoma de Barcelona;Grado en Criminología;Pública / Propio;8.79;9.29;70;240;25,27 €
Universidad Rey Juan Carlos;Grado en Marketing;Pública / Propio;8.78;9.48;75;240;21,39 €
Universitat de València (Estudi General);Grado en Derecho;Pública / Propio;8.77;10.34;560;240;13,86 €
Universidad de A Coruña;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;8.77;9.49;120;240;9,85 €
Universidad de Málaga;Grado en Educación Infantil;Pública / Propio;8.75;9.76;180;240;12,62 €
Universidad de Extremadura;Grado en Ciencias de la Actividad Física y el Deporte;Pública / Propio;8.75;10.25;90;240;12,33 €
Universidad de Valladolid;Grado en Estadística;Pública / Propio;8.75;7.11;15;240;14,05 €
Universidad de Sevilla;Grado en Publicidad y Relaciones Públicas;Pública / Propio;8.74;9.71;142;240;12,62 €
Universidad Jaume I de Castellón;Grado en Periodismo;Pública / Propio;8.74;9.75;90;240;14,96 €
Universidad Rey Juan Carlos;Grado en Ingeniería Química;Pública / Propio;8.74;8.47;40;240;24,55 €
Universidad de Girona;Grado en Ingeniería Biomédica;Pública / Propio;8.73;9.72;40;240;39,53 €
Universidad Jaume I de Castellón;Grado en Diseño y Desarrollo de Videojuegos;Pública / Propio;8.73;10.26;60;240;20,27 €
Universidad Miguel Hernández de Elche;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;8.73;9.16;150;240;16,41 €
Universidad Politécnica de Madrid;Grado en Ingeniería Eléctrica;Pública / Propio;8.73;9.63;75;240;24,55 €
Universidad Autónoma de Barcelona;Grado en Estudios Socioculturales de Género;Pública / Propio;8.72;-;60;180;25,27 €
Universidad de Vigo;Grado en Educación Primaria;Pública / Propio;8.72;9.31;75;240;9,85 €
Universitat de València (Estudi General);Grado en Ciencia de Datos;Pública / Propio;8.72;8.31;65;240;20,27 €
Universitat Politècnica de València;Grado en Ingeniería Eléctrica;Pública / Propio;8.72;9.81;75;240;20,27 €
Universidad de Alicante;Grado en Economía;Pública / Propio;8.71;9.2;125;240;14,96 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Educación Primaria;Pública / Propio;8.71;9.43;140;240;14,39 €
Universidad Autónoma de Barcelona;Grado en Estudios de Asia Oriental;Pública / Propio;8.71;10.16;80;240;35,77 €
Universidad de Granada;Grado en Terapia Ocupacional;Pública / Propio;8.7;10.25;66;240;12,62 €
Universidad Rovira i Virgili;Grado en Publicidad y Relaciones Públicas;Pública / Propio;8.7;9.8;40;240;35,77 €
Universidad Rey Juan Carlos;Grado en Ingeniería de Tecnologías Industriales;Pública / Propio;8.7;9.36;70;240;24,55 €
Universidad Rey Juan Carlos;Grado en Trabajo Social;Pública / Propio;8.7;9.21;40;240;21,39 €
Universidad de Murcia;Grado en Publicidad y Relaciones Públicas;Pública / Propio;8.7;9.75;85;240;14,38 €
Universidad de Oviedo;Grado en Biología;Pública / Propio;8.7;9.12;110;240;12,30 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Educación Social;Pública / Propio;8.69;9.72;80;240;14,39 €
Universidad Complutense de Madrid;Grado en Finanzas, Banca y Seguros;Pública / Propio;8.69;9.45;60;240;21,39 €
Universidad Rey Juan Carlos;Grado en Dirección y Gestión de Empresas en el Ámbito Digital;Pública / Propio;8.68;9.29;60;240;21,39 €
Universidad Complutense de Madrid;Grado en Logopedia;Pública / Propio;8.68;8.83;60;240;21,39 €
Universidad Jaume I de Castellón;Grado en Química;Pública / Propio;8.68;9.02;70;240;20,27 €
Universidad de Zaragoza;Grado en Derecho;Pública / Propio;8.68;10.53;308;240;13,70 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Educación Infantil;Pública / Propio;8.68;9.84;160;240;14,39 €
Universidad Miguel Hernández de Elche;Grado en Psicología;Pública / Propio;8.67;9.41;135;240;16,41 €
Universidad de Málaga;Grado en Terapia Ocupacional;Pública / Propio;8.67;9.52;65;240;12,62 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Educación Infantil;Pública / Propio;8.66;9.75;90;240;14,39 €
Universidad de Girona;Grado en Maestro/a de Educación Primaria;Pública / Propio;8.66;9.69;80;240;25,27 €
Universidad de Granada;Grado en Ingeniería de Tecnologías de Telecomunicación;Pública / Propio;8.66;10.41;100;240;12,62 €
Universidad Carlos III de Madrid;Grado en Sociología/ Bachelor in Sociology;Pública / Propio;8.65;9.77;40;240;21,39 €
Universidad Pompeu Fabra;Grado en Fisioterapia;Pública / Adscrito;8.65;9.44;20;240;
Universidad de Zaragoza;Grado en Ciencia y Tecnología de los Alimentos;Pública / Propio;8.65;10.59;60;240;23,39 €
Universidad Rey Juan Carlos;Grado en Marketing;Pública / Propio;8.64;10.26;150;240;21,39 €
Universidad de Murcia;Grado en Periodismo;Pública / Propio;8.64;10.08;70;240;14,38 €
Universidad Complutense de Madrid;Grado en Ciencia y Tecnología de los Alimentos;Pública / Propio;8.64;8.82;85;240;26,14 €
Universitat Politècnica de València;Grado en Ingeniería Informática;Pública / Propio;8.64;10.41;375;240;20,27 €
Universidad de Málaga;Grado en Periodismo;Pública / Propio;8.64;10.3;130;240;12,62 €
Universitat Politècnica de València;Grado en Tecnología Digital y Multimedia;Pública / Propio;8.63;-;75;240;20,27 €
Universidad Autónoma de Madrid;Grado en Historia y Ciencias de la Música y Tecnología Musical;Pública / Propio;8.62;8.95;37;240;21,39 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Traducción e Interpretación;Pública / Propio;8.62;12.02;60;240;19,19 €
Universidad de Barcelona;Grado en Enfermería;Pública / Adscrito;8.61;9.09;150;240;
Universitat de València (Estudi General);Grado en Psicología;Pública / Propio;8.6;9.92;450;240;16,41 €
Universidad de Zaragoza;Grado en Magisterio en Educación Infantil;Pública / Propio;8.6;9.98;120;240;16,20 €
Universidad Jaume I de Castellón;Grado en Maestro o Maestra en Educación Primaria;Pública / Propio;8.59;9.03;144;240;14,96 €
Universidad de Barcelona;Grado en Ingeniería Informática;Pública / Propio;8.59;9.3;70;240;39,53 €
Universitat de les Illes Balears;Grado en Bioquímica;Pública / Propio;8.57;9.98;60;240;18,50 €
Universidad Rey Juan Carlos;Grado en Periodismo;Pública / Propio;8.57;9.47;50;240;21,39 €
Universidad de Granada;Grado en Ciencia y Tecnología de los Alimentos;Pública / Propio;8.57;9.55;60;240;12,62 €
Universidad de Salamanca;Grado en Biología;Pública / Propio;8.56;10.12;180;240;18,32 €
Universidad Politécnica de Madrid;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;8.55;9.85;200;240;26,14 €
Universidad de Málaga;Grado en Ingeniería Informática;Pública / Propio;8.53;9.47;140;240;12,62 €
Universidad Complutense de Madrid;Grado en Pedagogía;Pública / Propio;8.53;9.06;100;240;21,39 €
Universidad de Granada;Grado en Bellas Artes;Pública / Propio;8.53;10.07;240;240;12,62 €
Universidad de La Laguna;Grado en Matemáticas;Pública / Propio;8.52;9.81;80;240;14,59 €
Universidad de Sevilla;Grado en Psicología;Pública / Propio;8.51;9.39;270;240;12,62 €
Universidad Rey Juan Carlos;Grado en Ingeniería del Software;Pública / Propio;8.51;8.56;60;240;24,55 €
Universidad de La Laguna;Grado en Grado en Farmacia;Pública / Propio;8.51;10.24;130;300;14,59 €
Universidad Rovira i Virgili;Grado en Periodismo;Pública / Propio;8.51;10.55;40;240;35,77 €
Universidad Complutense de Madrid;Grado en Maestro en Educación Infantil;Pública / Propio;8.5;9.07;200;240;21,39 €
Universitat de València (Estudi General);Grado en Maestro/a en Educación Infantil;Pública / Propio;8.5;9.57;350;240;14,96 €
Universidad de Vigo;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;8.5;9;100;240;9,85 €
Universidad Politécnica de Catalunya;Grado en Ingeniería de la Energía;Pública / Propio;8.49;9.62;65;240;39,53 €
Universitat de València (Estudi General);Grado en Economía;Pública / Propio;8.49;10.37;210;240;14,96 €
Universidad de Málaga;Grado en Fundamentos de Arquitectura;Pública / Propio;8.49;10.25;75;300;12,62 €
Universidad Autónoma de Barcelona;Grado en Educación Infantil;Pública / Propio;8.49;9.6;130;240;25,27 €
Universidad de Málaga;Grado en Ingeniería en Diseño Industrial y Desarrollo del Producto;Pública / Propio;8.48;10.04;65;240;12,62 €
Universidad Politécnica de Madrid;Grado en Ingeniería Marítima;Pública / Propio;8.46;9.8;60;240;24,55 €
Universidad Rey Juan Carlos;Grado en Ingeniería en Organización Industrial;Pública / Propio;8.46;9.6;40;240;24,55 €
Universidad de Cádiz;Grado en Psicología;Pública / Propio;8.46;9.2;75;240;12,62 €
Universidad de Barcelona;Grado en Derecho;Pública / Propio;8.46;9.37;430;240;25,27 €
Universidad de Jaén;Grado en Biología;Pública / Propio;8.46;9.01;75;240;12,62 €
Universidad de Sevilla;Grado en Conservación y Restauración de Bienes Culturales;Pública / Propio;8.45;8.97;60;240;12,62 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Pedagogía;Pública / Propio;8.45;10.03;55;240;14,39 €
Universitat de València (Estudi General);Grado en Ciencias Ambientales;Pública / Propio;8.44;9.43;80;240;20,27 €
Universidad de Las Palmas de Gran Canaria;Grado en Educación Primaria;Pública / Propio;8.44;10.15;220;240;10,16 €
Universidad de Salamanca;Grado en Psicología;Pública / Propio;8.43;9.42;200;240;15,22 €
Universitat de València (Estudi General);Grado en Educación Social;Pública / Propio;8.43;9.34;160;240;14,96 €
Universidad de Alcalá;Grado en Administración y Dirección de Empresas;Pública / Propio;8.43;9.34;100;240;21,39 €
Universidad de Girona;Grado en Publicidad y Relaciones Públicas;Pública / Propio;8.42;9.82;80;240;35,77 €
Universidad de Barcelona;Grado en Maestro de Educación Infantil;Pública / Propio;8.42;9.19;200;240;25,27 €
Universidad de Barcelona;Grado en Publicidad, Relaciones Públicas y Marketing;Pública / Adscrito;8.42;-;150;240;
Universidad Autónoma de Barcelona;Grado en Derecho;Pública / Propio;8.42;9.29;220;240;25,27 €
Universidad Autónoma de Barcelona;Grado en Pedagogía;Pública / Propio;8.41;9.26;75;240;25,27 €
Universidad de A Coruña;Grado en Educación Primaria;Pública / Propio;8.4;9.51;120;240;9,85 €
Universidad de Barcelona;Grado en Maestro de Educación Primaria;Pública / Propio;8.4;9.55;450;240;25,27 €
Universitat de València (Estudi General);Grado en Estudios Hispánicos, Lengua Española y sus Literaturas;Pública / Propio;8.39;10.06;80;240;14,96 €
Universitat de València (Estudi General);Grado en Ciencia y Tecnología de los Alimentos;Pública / Propio;8.39;8.96;64;240;20,27 €
Universidad Autónoma de Madrid;Grado en Maestro en Educación Primaria;Pública / Propio;8.39;9.11;210;240;21,39 €
Universidad de Lleida;Grado en Fisioterapia;Pública / Propio;8.39;10;25;240;39,53 €
Universidad Autónoma de Madrid;Grado en Ciencia y Tecnología de los Alimentos;Pública / Propio;8.39;8.76;65;240;26,14 €
Universidad Carlos III de Madrid;Grado en Ingeniería Eléctrica/Bachelor's degree in Electrical Power Engineering;Pública / Propio;8.38;9.55;70;240;24,55 €
Universidad de Barcelona;Grado en Criminología;Pública / Propio;8.37;8.73;140;240;25,27 €
Universidad Autónoma de Barcelona;Grado en Psicología;Pública / Propio;8.34;9.41;360;240;35,77 €
Universidad de A Coruña;Grado en Ingeniería Informática;Pública / Propio;8.34;9.92;240;240;13,93 €
Universidad de A Coruña;Grado en Biología;Pública / Propio;8.34;9.93;70;240;13,93 €
Universidad Politécnica de Catalunya;Grado en Diseño, Animación y Arte Digital;Pública / Adscrito;8.31;10.15;40;180;
Universidad Rovira i Virgili;Grado en Fisioterapia;Pública / Propio;8.3;9.61;75;240;39,53 €
Universidad de Santiago de Compostela;Grado en Pedagogía;Pública / Propio;8.3;9.03;70;240;9,85 €
Universidad de Málaga;Grado en Publicidad y Relaciones Públicas;Pública / Propio;8.3;9.66;130;240;12,62 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Derecho;Pública / Propio;8.29;10.16;120;240;14,08 €
Universidad de Girona;Grado en Administración y Dirección de Empresa;Pública / Propio;8.28;8.51;100;240;25,27 €
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Grado en Educación Primaria;Pública / Propio;8.28;9.6;180;240;14,39 €
Universitat de València (Estudi General);Grado en Estudios Ingleses;Pública / Propio;8.28;9.77;160;240;14,96 €
Universidad de Extremadura;Grado en Criminología;Pública / Propio;8.28;10.37;20;240;12,33 €
Universidad de Murcia;Grado en Derecho;Pública / Propio;8.27;10.48;370;240;14,38 €
Universidad de Barcelona;Grado en Química;Pública / Propio;8.27;10.4;225;240;35,77 €
Universidad de Lleida;Grado en Biotecnología;Pública / Propio;8.27;10.79;50;240;35,77 €
Universidad de Alicante;Grado en Ingeniería Química;Pública / Propio;8.27;8.64;60;240;20,27 €
Universidad Rovira i Virgili;Grado en Educación Primaria;Pública / Propio;8.27;8.66;120;240;25,27 €
Universidad Miguel Hernández de Elche;Grado en Administración y Dirección de Empresas;Pública / Propio;8.26;7.09;70;240;14,96 €
Universidad de Barcelona;Grado en Psicología;Pública / Propio;8.25;9.61;480;240;35,77 €
Universidad Politécnica de Madrid;Grado en Ingeniería de Sistemas de Telecomunicación;Pública / Propio;8.25;9.13;85;240;24,55 €
Universidad Autónoma de Madrid;Grado en Ingeniería de Tecnologías y Servicios de Telecomunicación;Pública / Propio;8.23;9.61;70;240;24,55 €
Universidad Complutense de Madrid;Grado en Economía;Pública / Propio;8.23;8.82;190;240;21,39 €
Universidad Autónoma de Madrid;Grado en Ciencias Ambientales;Pública / Propio;8.22;8.2;120;240;26,14 €
Universidad de Zaragoza;Grado en Psicología;Pública / Propio;8.21;9.96;85;240;16,20 €
Universidad de Santiago de Compostela;Grado en Historia;Pública / Propio;8.21;9.71;100;240;9,85 €
Universidad de Alicante;Grado en Relaciones Laborales y Recursos Humanos;Pública / Propio;8.2;6.77;130;240;13,86 €
Universidad Miguel Hernández de Elche;Grado en Negocios Internacionales / International Business;Pública / Adscrito;8.2;n/d;70;240;
Universidad de Girona;Grado en Psicología;Pública / Propio;8.2;9.54;80;240;35,77 €
Universidad de Málaga;Grado en Biología;Pública / Propio;8.2;10.36;135;240;12,62 €
Universidad de Cádiz;Grado en Educación Primaria;Pública / Propio;8.2;9.39;210;240;12,62 €
Universidad de Lleida;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Adscrito;8.19;9.11;95;240;
Universidad Rovira i Virgili;Grado en Ingeniería Biomédica;Pública / Propio;8.19;10.28;35;240;39,53 €
Universitat de València (Estudi General);Grado en Ingeniería Informática;Pública / Propio;8.18;8.74;50;240;20,27 €
Universidad de Castilla- La Mancha;Grado en Ciencias de la Actividad Física y del Deporte;Pública / Propio;8.18;9.28;110;240;18,87 €
Universidad Rey Juan Carlos;Grado en Educación Primaria;Pública / Propio;8.18;9.27;140;240;21,39 €
Universidad Politécnica de Catalunya;Grado en Ingeniería Informática;Pública / Propio;8.18;10.75;400;240;39,53 €
Universidad de Vigo;Grado en Biología;Pública / Propio;8.17;9.65;75;240;13,93 €
Universidad Pompeu Fabra;Grado en Enfermería;Pública / Adscrito;8.17;8.93;85;240;
Universidad de Vigo;Grado en Educación Infantil;Pública / Propio;8.17;8.46;75;240;9,85 €
